X,Y
98,88
99,88
100,88
100,89
101,89
101,90
102,90
102,91
103,91
103,92
104,92
105,92
105,93
106,93
106,94
107,94
108,94
108,95
109,95
109,96
110,96
111,96
111,97
112,97
113,97
113,98
114,98
114,99
115,99
116,99
116,100
117,100
117,101
118,101
119,101
119,102
120,102
120,103
121,103
122,103
122,104
123,104
123,105
124,105
125,105
125,106
126,106
127,106
127,107
128,107
128,108
129,108
130,108
130,109
131,109
131,110
132,110
133,110
133,111
134,111
134,112
135,112
136,112
136,113
137,113
137,114
138,114
139,114
139,115
140,115
141,115
141,116
142,116
142,117
143,117
144,117
144,118
145,118
145,119
146,119
147,119
147,120
148,120
148,121
149,121
150,121
150,122
151,122
151,123
152,123
153,123
154,123
155,123
155,124
155,125
156,125
156,126
157,126
157,127
158,127
158,128
159,128
159,129
160,129
161,129
161,130
162,130
162,131
163,131
163,132
164,132
164,133
165,133
166,133
166,134
167,134
167,135
168,135
168,136
169,136
169,137
170,137
170,138
171,138
172,138
173,138
174,138
174,139
174,140
174,141
174,142
175,142
175,143
175,144
176,144
176,145
177,145
177,146
177,147
178,147
178,148
178,149
179,149
179,150
180,150
180,151
181,151
182,151
183,151
184,151
185,151
186,151
187,151
187,152
188,152
189,152
190,152
191,152
192,152
193,152
193,153
193,154
193,155
193,156
193,157
193,158
193,159
193,160
193,161
193,162
193,163
193,164
193,165
193,166
193,167
193,168
193,169
193,170
193,171
193,172
193,173
193,174
193,175
193,176
193,177
193,178
193,179
193,180
194,180
194,181
195,181
196,181
197,181
197,182
198,182
199,182
199,183
200,183
201,183
202,183
202,184
203,184
204,184
205,184
205,185
206,185
207,185
207,186
208,186
209,186
209,187
210,187
211,187
211,188
212,188
213,188
213,189
214,189
215,189
215,190
216,190
217,190
218,190
219,190
220,190
220,191
220,192
220,193
221,193
221,194
222,194
222,195
223,195
223,196
224,196
224,197
225,197
225,198
226,198
226,199
227,199
227,200
228,200
228,201
229,201
229,202
230,202
230,203
231,203
231,204
232,204
232,205
233,205
233,206
234,206
235,206
236,206
237,206
238,206
238,207
238,208
238,209
239,209
239,210
239,211
239,212
240,212
240,213
240,214
241,214
241,215
242,215
242,216
243,216
243,217
244,217
245,217
245,218
246,218
247,218
247,219
247,220
248,220
248,221
249,221
250,221
250,222
251,222
252,222
252,223
253,223
254,223
254,224
255,224
256,224
256,225
257,225
258,225
258,226
259,226
260,226
261,226
262,226
262,227
263,227
264,227
265,227
266,227
267,227
267,228
268,228
269,228
270,228
270,229
271,229
272,229
273,229
273,230
274,230
275,230
276,230
276,231
277,231
278,231
279,231
280,231
280,232
281,232
281,233
282,233
283,233
284,233
285,233
286,233
286,234
286,235
286,236
286,237
286,238
286,239
286,240
286,241
286,242
286,243
286,244
287,244
287,245
288,245
289,245
289,246
290,246
291,246
291,247
292,247
292,248
292,249
292,250
292,251
292,252
292,253
292,254
292,255
292,256
292,257
292,258
292,259
292,260
292,261
292,262
292,263
292,264
292,265
292,266
292,267
292,268
292,269
292,270
292,271
292,272
292,273
293,273
294,273
295,273
296,273
297,273
298,273
299,273
300,273
301,273
302,273
303,273
304,273
305,273
306,273
306,274
306,275
306,276
306,277
306,278
306,279
306,280
306,281
306,282
306,283
306,284
306,285
306,286
306,287
306,288
306,289
306,290
306,291
306,292
306,293
306,294
306,295
306,296
306,297
306,298
306,299
306,300
306,301
306,302
306,303
306,304
306,305
306,306
307,306
308,306
308,307
309,307
310,307
311,307
311,308
312,308
313,308
314,308
315,308
315,309
316,309
317,309
318,309
318,310
319,310
320,310
321,310
322,310
322,311
323,311
323,312
324,312
325,312
326,312
326,313
327,313
328,313
329,313
329,314
330,314
331,314
332,314
333,314
333,315
334,315
335,315
335,316
336,316
337,316
338,316
338,317
339,317
340,317
341,317
342,317
343,317
344,317
344,318
344,319
345,319
346,319
347,319
348,319
348,320
349,320
350,320
351,320
351,321
352,321
353,321
354,321
355,321
355,322
356,322
357,322
358,322
358,323
359,323
360,323
361,323
362,323
363,323
364,323
365,323
366,323
367,323
368,323
369,323
370,323
371,323
372,323
373,323
374,323
375,323
376,323
377,323
378,323
379,323
379,324
380,324
381,324
382,324
383,324
384,324
385,324
386,324
387,324
388,324
389,324
390,324
391,324
392,324
393,324
394,324
394,325
394,326
394,327
394,328
394,329
394,330
394,331
394,332
394,333
394,334
394,335
394,336
394,337
395,337
396,337
397,337
397,338
398,338
399,338
400,338
401,338
401,339
402,339
403,339
404,339
405,339
405,340
406,340
407,340
408,340
409,340
409,341
410,341
411,341
412,341
413,341
414,341
414,342
415,342
416,342
417,342
418,342
419,342
419,343
420,343
421,343
422,343
423,343
424,343
425,343
425,344
426,344
427,344
428,344
429,344
430,344
431,344
431,345
432,345
432,346
433,346
433,347
434,347
434,348
434,349
434,350
435,350
435,351
435,352
435,353
435,354
435,355
435,356
435,357
435,358
435,359
435,360
435,361
435,362
435,363
435,364
435,365
435,366
435,367
436,367
437,367
438,367
438,368
439,368
440,368
441,368
442,368
443,368
444,368
445,368
446,368
447,368
448,368
448,369
448,370
448,371
448,372
448,373
448,374
448,375
448,376
448,377
448,378
448,379
448,380
448,381
449,381
450,381
451,381
452,381
453,381
454,381
455,381
456,381
457,381
458,381
459,381
460,381
461,381
462,381
463,381
464,381
465,381
466,381
467,381
468,381
469,381
470,381
471,381
472,381
473,381
474,381
475,381
476,381
477,381
478,381
479,381
480,381
481,381
482,381
482,380
483,380
484,380
485,380
485,379
486,379
487,379
488,379
488,378
489,378
490,378
491,378
492,378
493,378
