METER,DIRECTION
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
4,right
2,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
4,right
4,down
1,right
2,down
1,right
1,down
1,right
2,down
1,right
2,down
1,right
1,down
1,right
1,down
7,right
1,down
6,right
28,down
1,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
3,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
5,right
3,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
5,right
3,down
1,right
3,down
1,right
2,down
1,right
1,down
1,right
1,down
1,right
1,down
2,right
1,down
2,right
2,down
1,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
4,right
1,down
5,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
4,right
1,down
1,right
1,down
5,right
11,down
1,right
1,down
2,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
4,right
2,down
2,right
1,down
1,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
2,right
1,down
4,right
2,down
2,right
1,down
1,right
1,down
2,right
1,down
2,right
1,down
1,right
1,down
2,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
1,down
1,right
18,down
4,right
1,down
7,right
1,down
7,right
1,down
4,right
10,down
1,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
4,right
1,down
13,right
1,down
2,right
1,down
3,right
1,down
1,right
1,down
1,right
3,down
1,right
1,down
6,right
1,up
13,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
3,right
1,down
3,right
1,down
2,right
1,down
3,right
1,down
3,right
3,down
3,right
8,down
1,left
4,down
1,left
3,down
1,left
6,down
